id,user_id,platform,can_read,can_write,can_delete,created_at,updated_at
79b0a128-99b3-4a82-ba0b-4cac3608e050,45f19974-9ba3-4501-864c-1f114f07d537,dashboard,true,true,true,2025-09-24T15:26:00.272966+00:00,2025-09-24T15:26:00.272966+00:00
460a9f91-39ab-4a1a-8a7e-92459405f362,45f19974-9ba3-4501-864c-1f114f07d537,instagram,true,true,true,2025-09-24T15:26:00.272966+00:00,2025-09-24T15:26:00.272966+00:00
8a707df6-27f0-4197-8dcb-a762d4b86cf9,45f19974-9ba3-4501-864c-1f114f07d537,spotify,true,true,true,2025-09-24T15:26:00.272966+00:00,2025-09-24T15:26:00.272966+00:00
109b1009-12ca-4934-aa95-3e14cd4a4830,45f19974-9ba3-4501-864c-1f114f07d537,soundcloud,true,true,true,2025-09-24T15:26:00.272966+00:00,2025-09-24T15:26:00.272966+00:00
fe1036ea-94ca-43cc-a302-aaa12ab3e3a0,45f19974-9ba3-4501-864c-1f114f07d537,youtube,true,true,true,2025-09-24T15:26:00.272966+00:00,2025-09-24T15:26:00.272966+00:00
7bfd0774-f012-4aa0-9d16-23567bd49359,23df74e8-54b4-42e5-bf09-10600fb6a584,dashboard,true,,,2025-09-24T15:26:00.292228+00:00,2025-09-24T15:26:00.292228+00:00
1573b4a0-6d53-4293-9c63-fca9ca94ba44,23df74e8-54b4-42e5-bf09-10600fb6a584,spotify,true,,,2025-09-24T15:26:00.292228+00:00,2025-09-24T15:26:00.292228+00:00
3389a834-b68d-4a15-9be9-1be356d5800b,23df74e8-54b4-42e5-bf09-10600fb6a584,soundcloud,true,,,2025-09-24T15:26:00.292228+00:00,2025-09-24T15:26:00.292228+00:00
f04620fe-b056-4d92-b15f-5ad866119754,4fe9280d-7821-499d-8b38-9ee65b6d834c,dashboard,true,true,,2025-09-24T15:26:00.300958+00:00,2025-09-24T15:26:00.300958+00:00
ab9e69b8-e6e8-4709-8200-2c8a41eabdaf,4fe9280d-7821-499d-8b38-9ee65b6d834c,instagram,true,true,,2025-09-24T15:26:00.300958+00:00,2025-09-24T15:26:00.300958+00:00
ed14a2f8-0a06-4c55-811d-c28858ba3b0c,4fe9280d-7821-499d-8b38-9ee65b6d834c,spotify,true,true,,2025-09-24T15:26:00.300958+00:00,2025-09-24T15:26:00.300958+00:00
b5a22765-ed4e-4488-baee-63dd97907c8f,4fe9280d-7821-499d-8b38-9ee65b6d834c,youtube,true,true,,2025-09-24T15:26:00.300958+00:00,2025-09-24T15:26:00.300958+00:00
