Track Info,Client,Submit Date,Start Date,Receipts,Date Requested,Service Type,Goal,Remaining,Status,URL,Notes,Confirm Start Date?,Send Receipt(s),Ask Client for Playlist,Invoice
Filthy // 2026 Showcase ,Filthy,12/19/2025,1/29/2026,"12/29 - 10M
https://influenceplanner.com/planned/calendar/schedule/aa9ce9be-ae14-4bee-94fb-c742390dc766",12/19/2025,Reposts,20000000.0,10000000.0,Active,https://soundcloud.com/filthyboiii/sets/filthy-2026-showcase?si=99c1892d82304788a133c97a0a079c59&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,checked,,Paid
Neyvo - Radio Berlin,Neyvo,1/28/2026,1/29/2026,"1/29 - 2.5M+
https://influenceplanner.com/planned/calendar/schedule/7373c760-38ef-4067-8c12-7e38e0428478",1/28/2026,Reposts,2500000.0,0.0,Active,https://soundcloud.com/radio-berlin/nevyo-radio-berlin-contest?si=f2716761f8a1409ebc2308326cc88763&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,checked,,Sent
Lights Out (Majed Remix),Majed,1/28/2026,1/29/2026,"1/29 - 10M
https://influenceplanner.com/planned/calendar/schedule/0af5a50b-000f-44ff-aedf-a6402d6eebd2",1/28/2026,Reposts,20000000.0,10000000.0,Active,https://soundcloud.com/theonlymajed/john-summit-lights-go-out-majed-remix?si=53520a65b5084d939a50d388e6608c7a&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,checked,,N/A
Malone - My Love 4 y,Paul Reed (Friends Of Friends),1/28/2026,1/30/2026,"1/30 - 4.5M
https://influenceplanner.com/planned/calendar/schedule/66caafb9-7752-4775-8bf9-d0624f2515ef",1/30/2026,Reposts,10000000.0,5500000.0,Active,https://soundcloud.com/malonemusicofc/ammo-avenue-malone-my-love-4-u,,checked,checked,,Sent
Nash Rly - Stop Me Fallin ,Tonal,1/30/2026,2/4/2026,"2/4 - 6M
https://influenceplanner.com/planned/calendar/schedule/c8ea7ed2-7334-42e7-8a7e-9165315af6bd",1/30/2026,Reposts,20000000.0,14000000.0,Active,https://open.spotify.com/album/04nX2OQQal62zA9hICovFt,,,checked,,Sent
Traveler - Friendship ,Traveler,2/1/2026,2/4/2026,"2/4 - 5M
https://influenceplanner.com/planned/calendar/schedule/e83efffc-cd39-422f-986f-653acc58a3ad",2/1/2026,Reposts,10000000.0,5000000.0,Active,https://soundcloud.com/travelermusic/traveler-friendship-2026,,,checked,,Sent
Come & Go (Luhv Remix),Luhv,2/1/2026,2/4/2026,"2/4 - 5M
https://influenceplanner.com/planned/calendar/schedule/f35d9797-0208-42ac-9f46-2d65049d20e3",2/1/2026,Reposts,10000000.0,5000000.0,Active,https://on.soundcloud.com/xhJZ376ANTzvhXIxQh,,,checked,,Sent
Lights Go Out - Crumb Pit Remix,Crumb Pit,2/3/2026,2/5/2026,"2/5 - 14.1M
https://influenceplanner.com/planned/calendar/schedule/b7bb2ca6-592b-4fa4-bbd8-2fec440c7480",2/3/2026,Reposts,20000000.0,5900000.0,Active,https://on.soundcloud.com/Ecnm72ahWTJs3fqwtG,,,checked,,Sent
sam wolfe - smack yo (re up),Phulti,1/27/2026,2/5/2026,"2/3 - 6.6M
https://influenceplanner.com/planned/calendar/schedule/c1a560da-f5c1-4477-beb7-b4b6f3127816",2/5/2026,Reposts,35000000.0,28400000.0,Active,https://soundcloud.com/samwolfemusic/smack,,,checked,,Paid
John Alto- What I Feel,TakingMeHigher LLC,2/3/2026,2/6/2026,"2/9 - 6.5M
https://influenceplanner.com/planned/calendar/schedule/e594cde9-f648-4ebc-bd71-ca326cc541e1",2/6/2026,Reposts,20000000.0,13500000.0,Active,https://offtop.com/pack/yaUAAGKCGg,,checked,checked,,Sent
hilary duff - come clean (synova flip),synova,2/5/2026,2/6/2026,"2/6 - 4.3M
https://influenceplanner.com/planned/calendar/schedule/bc358db6-7d4e-4f1f-8205-2c4ad2200340",2/6/2026,Reposts,12000000.0,7700000.0,Active,TBD,,,checked,,TBD
Jones - Good Girl Glitchin,Jack Jones,2/6/2026,2/6/2026,"2/6 - 4.8M
https://influenceplanner.com/planned/calendar/schedule/3393c98a-e350-41bd-b527-d6a2a435f8d8",2/6/2026,Reposts,40000000.0,40000000.0,Active,https://www.dropbox.com/scl/fo/shr0sof7o0xs1npjlfxpl/AHnq4UAZKbNtx6aYpjl5vPY?rlkey=s32mghctzrzzr9edhrz26w2ve&dl=0,,,checked,,Sent
Slowboy - Destruction,Aurorian Records,2/6/2026,2/6/2026,"2/6 - 14.8M
https://influenceplanner.com/planned/calendar/schedule/2e1e8927-f5ad-48ee-84e9-dcce09db7e1f",2/6/2026,Reposts,20000000.0,5200000.0,Active,https://soundcloud.com/slowboyyy/destruction,,,checked,,
sam wolfe - yes bitch vip (re up),Phuture,1/27/2026,2/7/2026,"2/6 - 5.9M
https://influenceplanner.com/planned/calendar/schedule/4b55295d-8280-4e78-ae05-f192500702e3",1/29/2026,Reposts,35000000.0,29100000.0,Active,https://soundcloud.com/samwolfemusic/yes-bitch-soundcloud-w-message,,checked,checked,,Paid
sam wolfe - tainted love remix,phuture,1/27/2026,2/8/2026,"2/10 - 9.1M
https://influenceplanner.com/planned/calendar/schedule/35068ff3-cb25-4e00-ba79-61c9dbdc0f08",2/10/2026,Reposts,40000000.0,30.9,Active,https://soundcloud.com/samwolfemusic/soft-cell-jamie-jones-tainted-love-sam-wolfe-remix/s-nlRFZk8qJW2,not released yet,checked,checked,,Paid
Close Friends - Lights Go Out,Casey - Keel,2/9/2026,2/9/2026,"2/9 - 5M
https://influenceplanner.com/planned/calendar/schedule/a5d34f16-6e6e-4293-a23f-8ec8522e9709",,Reposts,10000000.0,5000000.0,Active, https://soundcloud.com/theclosefriendsonly/lightsgooutremix,,,checked,,
sam wolfe - feel this shit (re up),phuture,2/6/2026,2/9/2026,"2/9 - 10M
https://influenceplanner.com/planned/calendar/schedule/630f98ff-e090-49e6-838c-92136c0ae64c",2/9/2026,Reposts,35000000.0,25000000.0,Active,https://soundcloud.com/samwolfemusic/odd-mob-feel-this-shit-sam-wolfe,,checked,checked,,Paid
Benzo - Lights Go Out,benzo,2/10/2026,2/10/2026,"2/10 - 7M
https://influenceplanner.com/planned/calendar/schedule/d44caaa6-ff7a-46dd-af57-ce457cee72cd

https://influenceplanner.com/planned/calendar/schedule/7bd823db-e52f-4593-9c54-30ca554b6612",2/3/2026,Reposts,7000000.0,0.0,Active,https://soundcloud.com/itsbenzomusic/sets/john-summit-lights-go-out?si=1c808d88431244f294d6e075d8445f78&utm_source=clipboard&utm_medium=text&utm_campaign=social_sharing,,,checked,,
CHAOS - Slowboy Remix,Aurorian Records,2/10/2026,2/10/2026,"2/10 - 9.1M
https://influenceplanner.com/planned/calendar/schedule/ccd62f6f-e492-4dee-a467-5d5d5dda4408",2/10/2026,Reposts,20000000.0,10900000.0,Active,https://soundcloud.com/slowboyyy/mustdiechaosremix,,,checked,,
